SAT.Earth.ECC;SAT.ElapsedSecs;SAT.EarthMJ2000Eq.RA;SAT.Earth.TA;SAT.EarthMJ2000Eq.RAAN;SAT.EarthMJ2000Eq.INC;SAT.EarthMJ2000Eq.AOP;SAT.EarthICRF.AOP;SAT.EarthICRF.INC;SAT.EarthICRF.RAAN;SAT.EarthICRF.RA;
0.150000926;0;-135.5354951;189.4999302;35;5;6.98E-05;0.000208074;4.999995274;34.99986235;-135.535495;
0.150004503;59.99999988;-133.6307226;191.4193923;34.99989371;4.99994992;359.9922824;359.9924206;4.999945194;34.99975606;-133.6307224;
0.150014259;183.6857059;-129.688703;195.3910672;34.99954608;4.999823465;359.9764082;359.9765464;4.999818739;34.99940843;-129.6887027;
0.1500325;349.668806;-124.3556201;200.7621822;34.99873055;4.99960677;359.9556331;359.9557714;4.999602045;34.99859289;-124.3556198;
0.150057596;520.2951728;-118.8055816;206.3485161;34.99735427;4.999332217;359.9351539;359.9352921;4.999327492;34.9972166;-118.8055812;
0.150089193;690.0400012;-113.1974301;211.9891913;34.9953107;4.999013241;359.9159555;359.9160938;4.999008517;34.99517303;-113.1974296;
0.15012723;857.9259531;-107.5466434;217.6678814;34.99249867;4.998660719;359.8984334;359.8985717;4.998655996;34.99236098;-107.5466428;
0.150171659;1023.532052;-101.8523638;223.3848291;34.98883407;4.998286522;359.8829076;359.8830459;4.998281799;34.98869637;-101.852363;
0.150222395;1186.537026;-96.11227158;229.1418868;34.9842561;4.99790388;359.8696759;359.8698143;4.997899159;34.98411838;-96.11227071;
0.150279304;1346.664148;-90.32460594;234.9405032;34.9787321;4.997527184;359.8590162;359.8591545;4.997522463;34.97859437;-90.32460498;
0.150342193;1503.691168;-84.48796659;240.7819367;34.97226127;4.997171555;359.8511808;359.8513191;4.997166836;34.97212352;-84.48796554;
0.150410804;1657.434903;-78.60198995;246.6665866;34.96487869;4.996852381;359.8463938;359.8465321;4.996847664;34.96474093;-78.60198884;
0.150484806;1807.766832;-72.6668351;252.5945093;34.95665726;4.996584661;359.8448465;359.8449848;4.996579945;34.95651949;-72.66683396;
0.150563786;1954.606226;-66.68342673;258.5651674;34.94770896;4.996382308;359.8466953;359.8468337;4.996377595;34.94757117;-66.68342556;
0.150647235;2097.921198;-60.65334141;264.5775261;34.93818393;4.996257367;359.8520603;359.8521987;4.996252655;34.93804613;-60.65334026;
0.150734537;2237.724815;-54.57883003;270.6300053;34.92826755;4.996219193;359.8610244;359.8611628;4.996214484;34.92812974;-54.57882891;
0.15082495;2374.073375;-48.46270046;276.7205626;34.91817483;4.996273657;359.8736338;359.8737722;4.99626895;34.91803701;-48.46269939;
0.150917595;2507.061287;-42.30830393;282.8466675;34.90814222;4.99642242;359.889898;359.8900364;4.996417715;34.90800439;-42.30830294;
0.15101144;2636.81758;-36.11942321;289.0053701;34.89841668;4.996662365;359.9097905;359.9099289;4.996657662;34.89827886;-36.11942232;
0.151105299;2763.50191;-29.90016236;295.1933671;34.8892424;4.996985268;359.9332491;359.9333876;4.996980568;34.88910457;-29.90016159;
0.151197829;2887.296302;-23.65504706;301.4068629;34.88084607;4.997377764;359.9601753;359.9603137;4.997373065;34.88070825;-23.65504641;
0.151287543;3008.405867;-17.38869348;307.641864;34.87342083;4.997821709;359.9904333;359.9905717;4.997817011;34.87328301;-17.38869295;
0.151372842;3127.0521;-11.10585377;313.8941096;34.86711142;4.998294948;0.023848278;0.023986687;4.998290252;34.86697361;-11.10585336;
0.151452052;3243.473331;-4.811117387;320.1593536;34.86200113;4.998772503;0.06020403;0.060342431;4.998767809;34.86186332;-4.811117087;
0.151523483;3357.917527;1.490953682;326.4332275;34.85810301;4.999228073;0.099238605;0.099376997;4.999223379;34.85796521;1.490953884;
0.151585499;3470.64233;7.796036567;332.7114582;34.85535593;4.99963579;0.140641559;0.140779942;4.999631096;34.85521815;7.79603669;
0.151636604;3581.913137;14.10012154;338.9899574;34.85362677;4.999972031;0.184052254;0.184190629;4.999967338;34.85348899;14.10012161;
0.15167552;3692.001274;20.39955239;345.2648844;34.85271869;5.000217105;0.229061018;0.229199387;5.000212413;34.85258091;20.39955243;
0.151701272;3801.184436;26.69115784;351.5328009;34.8523849;5.000356639;0.27521541;0.275353775;5.000351947;34.85224713;26.69115787;
0.151713246;3909.741063;32.9719983;357.7904446;34.85234644;5.000382511;0.322028715;0.32216708;5.000377818;34.85220867;32.97199836;
0.151711227;4017.952921;39.2395541;4.034940747;34.85231195;5.000293268;0.368996118;0.369134484;5.000288575;34.85217418;39.23955421;
0.151695405;4126.098025;45.49133472;10.26343669;34.85199766;5.000094003;0.415609423;0.415747796;5.000089311;34.85185989;45.4913349;
0.151666353;4234.457081;51.72525967;16.47350523;34.85114545;4.999795731;0.461377831;0.461516212;4.999791039;34.85100766;51.72525995;
0.151624975;4343.301684;57.93898423;22.66249757;34.84953776;4.999414411;0.505838486;0.505976879;4.999409719;34.84939997;57.93898461;
0.151572434;4452.904045;64.13047392;28.82814148;34.84700822;4.998969655;0.54857174;0.548710147;4.998964965;34.84687041;64.13047442;
0.151510079;4563.52539;70.29737316;34.96793823;34.84344796;4.998483398;0.589202301;0.589340725;4.998478707;34.84331013;70.29737378;
0.151439369;4675.418048;76.43718785;41.07936788;34.83880762;4.997978508;0.627401515;0.627539957;4.997973819;34.83866978;76.43718859;
0.151361805;4788.827502;82.5474784;47.16009918;34.83309541;4.997477514;0.662886074;0.663024535;4.997472826;34.83295755;82.54747926;
0.151278891;4903.986396;88.6256373;53.20777692;34.82637245;4.997001511;0.695412929;0.695551409;4.996996825;34.82623457;88.62563825;
0.151192089;5021.117077;94.66915756;59.220287;34.8187456;4.996569256;0.7247779;0.724916399;4.996564572;34.8186077;94.6691586;
0.151102801;5140.429291;100.6756528;65.19576247;34.81035889;4.996196493;0.750814567;0.750953084;4.99619181;34.81022097;100.6756539;
0.151012345;5262.124813;106.6432341;71.13293427;34.80138371;4.995895478;0.773396635;0.773535168;4.995890797;34.80124578;106.6432353;
0.15092195;5386.387693;112.5701697;77.03076087;34.79200974;4.995674769;0.792438557;0.792577105;4.99567009;34.7918718;112.5701709;
0.150832738;5513.386836;118.4551775;82.88868341;34.78243521;4.995539142;0.807899276;0.808037837;4.995534466;34.78229725;118.4551787;
0.150745709;5643.278328;124.2976713;88.70683438;34.77285766;4.995489704;0.819784109;0.819922679;4.995485029;34.77271969;124.2976724;
0.150661736;5776.198012;130.0975498;94.48579456;34.76346642;4.995524145;0.828143523;0.828282101;4.995519472;34.76332844;130.0975509;
0.150581555;5912.258608;135.8552128;100.2265797;34.75443573;4.995637096;0.833070683;0.833209266;4.995632425;34.75429775;135.8552138;
0.150505764;6051.548794;141.5716526;105.9307094;34.74591907;4.995820564;0.834696938;0.834835524;4.995815896;34.74578108;141.5716535;
0.150434826;6194.128596;147.2483792;111.6001148;34.73804496;4.996064429;0.833185591;0.833324177;4.996059762;34.73790698;147.2483801;
0.150369073;6340.028926;152.8875069;117.2372149;34.73091403;4.996356964;0.828724966;0.82886355;4.996352298;34.73077604;152.8875076;
0.150308732;6489.239405;158.4913778;122.8445333;34.7245978;4.996685336;0.821521889;0.82166047;4.996680672;34.72445981;158.4913784;
0.150253932;6641.712125;164.0628025;128.4249365;34.71913789;4.997036121;0.811795584;0.81193416;4.997031458;34.71899991;164.062803;
0.150204727;6797.358862;169.605009;133.9815838;34.71454662;4.99739577;0.799772539;0.799911109;4.997391108;34.71440865;169.6050094;
